"filename", "language", "Gradle", "Markdown", "Log", "Java", "Batch", "GLSL", "Java Properties", "comment", "blank", "total"
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\Window.class", "Java", 0, 0, 0, 83, 0, 0, 0, 0, 0, 83
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Animation.class", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Background.class", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Cursor.class", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Entity.class", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Player.class", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\game_objects\Projectile.class", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\AI.class", "Java", 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\AssetPool.class", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\Difficulty.class", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\util\Transform.class", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\test\bytejam\project\AppTest.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\build.gradle", "Gradle", 41, 0, 0, 0, 0, 0, 0, 13, 13, 67
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\App.java", "Java", 0, 0, 0, 8, 0, 0, 0, 3, 3, 14
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\renderer\RenderBatch.java", "Java", 0, 0, 0, 205, 0, 0, 0, 51, 75, 331
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Renderer.java", "Java", 0, 0, 0, 39, 0, 0, 0, 0, 11, 50
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Shader.java", "Java", 0, 0, 0, 115, 0, 0, 0, 21, 27, 163
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\renderer\Texture.java", "Java", 0, 0, 0, 59, 0, 0, 0, 6, 15, 80
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Camera.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 9, 42
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\ExampleScene.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 19, 68
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\KeyListener.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 9, 34
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\MouseListener.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 16, 76
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Scene.java", "Java", 0, 0, 0, 13, 0, 0, 0, 2, 11, 26
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Sound.java", "Java", 0, 0, 0, 94, 0, 0, 0, 7, 22, 123
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\TitleScene.java", "Java", 0, 0, 0, 26, 0, 0, 0, 2, 16, 44
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\Window.java", "Java", 0, 0, 0, 145, 0, 0, 0, 20, 42, 207
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\gameScene.java", "Java", 0, 0, 0, 89, 0, 0, 0, 1, 24, 114
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Animation.java", "Java", 0, 0, 0, 36, 0, 0, 0, 9, 14, 59
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Background.java", "Java", 0, 0, 0, 53, 0, 0, 0, 2, 16, 71
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Cursor.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 16, 69
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Entity.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 16, 42
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Player.java", "Java", 0, 0, 0, 60, 0, 0, 0, 37, 19, 116
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\game_objects\Projectile.java", "Java", 0, 0, 0, 76, 0, 0, 0, 3, 21, 100
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\AssetPool.java", "Java", 0, 0, 0, 57, 0, 0, 0, 4, 11, 72
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\Difficulty.java", "Java", 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\EnemyManager.java", "Java", 0, 0, 0, 96, 0, 0, 0, 9, 29, 134
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\ProjectileManager.java", "Java", 0, 0, 0, 46, 0, 0, 0, 1, 11, 58
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\main\java\bytejam\project\turbo\util\Transform.java", "Java", 0, 0, 0, 39, 0, 0, 0, 0, 11, 50
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\src\test\java\bytejam\project\AppTest.java", "Java", 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\assets\shaders\default.glsl", "GLSL", 0, 0, 0, 0, 0, 34, 0, 0, 11, 45
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 0, 30, 22, 93
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\hs_err_pid10436.log", "Log", 0, 0, 854, 0, 0, 0, 0, 0, 74, 928
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\hs_err_pid3416.log", "Log", 0, 0, 850, 0, 0, 0, 0, 0, 74, 924
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\settings.gradle", "Gradle", 5, 0, 0, 0, 0, 0, 0, 7, 3, 15
"Total", "-", 46, 1, 1704, 2156, 41, 34, 7, 250, 667, 4906
